OBJECTID,Proponent,Branch,Base,Facility,Airspace,Reason,State,FAA_ID,POC,Floor,Ceiling,County,Shape__Area,Shape__Length
495,DOD,USA,JB Lewis McChord,Gray AAF 12,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 12,Robert Bright (253) 312-5275 - robert.d.bright10.civ@army.mil,Surface,400' AGL,PIERCE,6.54467794447555e-06,0.0166258672990994
496,DOD,USA,JB Lewis McChord,Gray AAF 13,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 13,"Leroy Alvarez, 62d AW Airspace Manager 62 OSS/OSA, email, leroy.alvarez.1@us.af.mil, 62OSS.MCCHORD.AIRSPACEMANAGEMENT@us.af.mil, DSN 382-4057, COMM 253-982-4057",Surface,400' AGL,PIERCE,0.000219350404677243,0.107881278106074
497,DOD,USA,JB Lewis McChord,Gray AAF 15,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 15,Robert Bright (253) 312-5275 - robert.d.bright10.civ@army.mil,Surface,400' AGL,PIERCE,0.000221323670757556,0.0787296820681677
498,DOD,USA,JB Lewis McChord,Gray AAF 16,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 16,"Leroy Alvarez, 62d AW Airspace Manager 62 OSS/OSA, email, leroy.alvarez.1@us.af.mil, 62OSS.MCCHORD.AIRSPACEMANAGEMENT@us.af.mil, DSN 382-4057, COMM 253-982-4057",Surface,400' AGL,PIERCE,0.00475450624844598,0.355909141238511
499,DOD,USA,JB Lewis McChord,Gray AAF 17,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 17,Robert Bright (253) 312-5275 - robert.d.bright10.civ@army.mil,Surface,400' AGL,PIERCE,0.026451625129539,1.16871538262949
500,DOD,USA,JB Lewis McChord,Gray AAF 18,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 18,Robert Bright (253) 312-5275 - robert.d.bright10.civ@army.mil,Surface,400' AGL,PIERCE,1.02310650618165e-06,0.00571269945354497
501,DOD,USA,JB Lewis McChord,Gray AAF 19,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 19,Robert Bright (253) 312-5275 - robert.d.bright10.civ@army.mil,Surface,400' AGL,PIERCE,0.003087833619702,0.268864943863721
502,DOD,USA,JB Lewis McChord,Gray AAF 20,CLASS D,NATIONAL SECURITY,WA,20170627-DOD-JB Lewis McChordGray AAF 20,Robert Bright (253) 312-5275 - robert.d.bright10.civ@army.mil,Surface,400' AGL,PIERCE,6.79270924592856e-05,0.0401495440468313
503,DOD,USA,Fort Drum,Wheeler-Sack AAF 3,CLASS D,NATIONAL SECURITY,NY,20170627-DOD-Fort DrumWheeler-Sack AAF 3,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919         Emergency: MOC 315-772-3632 / 8620,Surface,400' AGL,JEFFERSON,0.000341637795145289,0.0881989811859762
504,DOD,USA,Fort Drum,Wheeler-Sack AAF 4,CLASS D,NATIONAL SECURITY,NY,20170627-DOD-Fort DrumWheeler-Sack AAF 4,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919         Emergency: MOC 315-772-3632 / 8620,Surface,400' AGL,JEFFERSON,0.0485016746808924,1.61342431303307
505,DOD,USA,Fort George G Meade,Ft. Meade 5,,NATIONAL SECURITY,MD,20170627-DOD-Fort George G MeadeFt. Meade 5,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919         Emergency: EOC 240-581-4369,Surface,400' AGL,ANNE ARUNDEL,1.09013694782334e-06,0.0170015922039797
506,DOD,USA,Fort George G Meade,Ft. Meade 9,,NATIONAL SECURITY,MD,20170627-DOD-Fort George G MeadeFt. Meade 9,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919         Emergency: EOC 240-581-4369,Surface,400' AGL,ANNE ARUNDEL,2.33374960316723e-05,0.0394115511085737
507,DOD,USA,Fort George G Meade,Ft. Meade 10,,NATIONAL SECURITY,MD,20170627-DOD-Fort George G MeadeFt. Meade 10,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919         Emergency: EOC 240-581-4369,Surface,400' AGL,ANNE ARUNDEL,5.43316921266523e-05,0.0297641817183976
508,DOD,USA,Fort George G Meade,Ft. Meade 12,,NATIONAL SECURITY,MD,20170627-DOD-Fort George G MeadeFt. Meade 12,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919        Emergency: EOC 240-581-4369,Surface,400' AGL,ANNE ARUNDEL,0.00180590442141693,0.207183392623133
509,DOD,USA,Camp Guernsey,Guernsey AAF 1,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 1,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,0.00020651528302551,0.0673656150018843
510,DOD,USA,Camp Guernsey,Guernsey AAF 2,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 2,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,2.3538266759715e-05,0.019312784332998
511,DOD,USA,Camp Guernsey,Guernsey AAF 3,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 3,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,4.87782608615817e-06,0.0112739762684498
512,DOD,USA,Camp Guernsey,Guernsey AAF 4,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 4,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,2.85481282844557e-05,0.0379214035722102
513,DOD,USA,Camp Guernsey,Guernsey AAF 5,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 5,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,0.0116804143640366,0.715741767603274
514,DOD,USA,Camp Guernsey,Guernsey AAF 6,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 6,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,1.27340667859244e-05,0.0144328414898334
515,DOD,USA,Camp Guernsey,Guernsey AAF 7,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 7,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,1.14327135634085e-05,0.0135830725786532
516,DOD,USA,Camp Guernsey,Guernsey AAF 8,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 8,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,1.27343878375541e-05,0.0144330695131005
517,DOD,USA,Camp Guernsey,Guernsey AAF 9,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 9,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,1.21670686894504e-05,0.0140741082437688
518,DOD,USA,Camp Guernsey,Guernsey AAF 10,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 10,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,4.27724262408447e-05,0.0313155435992402
519,DOD,USA,Camp Guernsey,Guernsey AAF 11,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 11,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,1.41938412525633e-05,0.0151162792700076
520,DOD,USA,Camp Guernsey,Guernsey AAF 12,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 12,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,2.83856006717542e-05,0.024629597681863
521,DOD,USA,Camp Guernsey,Guernsey AAF 13,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 13,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,1.27435209833493e-05,0.0144389212323049
522,DOD,USA,Camp Guernsey,Guernsey AAF 14,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 14,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,0.0151925960194603,1.11133716343629
523,DOD,USA,Camp Guernsey,Guernsey AAF 15,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 15,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,0.000267528818312712,0.0661813381345416
524,DOD,USA,Camp Guernsey,Guernsey AAF 16,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 16,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,0.000196291780866886,0.0661927850803514
525,DOD,USA,Camp Guernsey,Guernsey AAF 17,CLASS D,NATIONAL SECURITY,WY,20170627-DOD-Camp GuernseyGuernsey AAF 17,Jason Miller (307) 836-7878 - jason.e.miller1.civ@army.mil,Surface,400' AGL,PLATTE,0.000269866564394761,0.0664938210639505
526,DOD,USA,Fort Leavenworth,Sherman AAF,,NATIONAL SECURITY,KS,20170627-DOD-Fort LeavenworthSherman AAF,"John McCoy, 913-684-6040   Emergency: Emergency Operations Center, 913-684-4448",Surface,400' AGL,LEAVENWORTH,0.00241588747076094,0.261214996205448
527,DOD,USA,West Point Mil Reservation,West Point Military Academy 3,,NATIONAL SECURITY,NY,20170628-DOD-West Point Mil ReservationWest Point Military Academy 3,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6919        Emergency:  845-938-2022 / 3333,Surface,400' AGL,ORANGE,0.00663419616398642,0.827066041162767
528,DOD,USN,NAS Fallon 1, ,CLASS D,NATIONAL SECURITY,NV,20170626-DOD-NAS Fallon 1,"Lt Ryan Pipkin, ATC, 775-426-2464, Ryan.b.pipkin@navy.mil (CDO 775-848-5731)-contact CDO after working hours",Surface,400' AGL,CHURCHILL,0.00360385249450701,0.375094856178272
529,DOD,USN,NAS Fallon 2, ,CLASS D,NATIONAL SECURITY,NV,20170626-DOD-NAS Fallon 2,"Lt Ryan Pipkin, ATC, 775-426-2464, Ryan.b.pipkin@navy.mil (CDO 775-848-5731)-contact CDO after working hours",Surface,400' AGL,CHURCHILL,8.37219886307139e-07,0.00974181137898637
530,DOD,USN,Portsmouth Naval Ship Yard (Kittery) 2, ,,NATIONAL SECURITY,ME,20170626-DOD-Portsmouth Naval Ship Yard (Kittery) 2,"Shipyard Duty Officer, (207) 451-3405 ",Surface,400' AGL,YORK,9.61176738201175e-07,0.00515968916147744
531,DOD,USN,Portsmouth Naval Ship Yard (Kittery) 3, ,,NATIONAL SECURITY,ME,20170626-DOD-Portsmouth Naval Ship Yard (Kittery) 3,"Shipyard Duty Officer, (207) 451-3405 ",Surface,400' AGL,YORK,1.04109562926169e-06,0.00538386900651179
532,DOD,USN,NSA Mechanicsburg, ,,NATIONAL SECURITY,PA,20170626-DOD-NSA Mechanicsburg,Command Duty Officer (717) 605-5215,Surface,400' AGL,CUMBERLAND,0.000336429426170071,0.103914026756759
533,DOD,USN,Naval Ship Yard Philly 1, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 1,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,6.80738889968779e-06,0.0111197326955305
534,DOD,USN,Naval Ship Yard Philly 2, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 2,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,9.18870978239283e-06,0.0123150156133343
535,DOD,USN,Naval Ship Yard Philly 3, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 3,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,4.43129647464957e-06,0.008816242451766
536,DOD,USN,Naval Ship Yard Philly 4, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 4,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,2.47667571784405e-06,0.00661883971265147
537,DOD,USN,Naval Ship Yard Philly 5, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 5,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,7.91881052464305e-06,0.0122780235887106
538,DOD,USN,Naval Ship Yard Philly 6, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 6,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,2.49416052611195e-06,0.00658470841331103
539,DOD,USN,Naval Ship Yard Philly 7, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 7,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,2.87394459519419e-06,0.00817976930509694
540,DOD,USN,Naval Ship Yard Philly 8, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 8,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,7.44337919513782e-05,0.0489335999801142
541,DOD,USN,Naval Ship Yard Philly 9, ,,NATIONAL SECURITY,PA,20170626-DOD-Naval Ship Yard Philly 9,Command Duty Office (215) 551-0251,Surface,400' AGL,PHILADELPHIA,1.74589308699069e-06,0.00707726376377467
542,DOD,USN,NWS Earle 1, ,,NATIONAL SECURITY,NJ,20170626-DOD-NWS Earle 1,Command Duty Officer (732) 558-3362,Surface,400' AGL,MONMOUTH,0.00190700874168215,0.203949095864216
543,DOD,USN,NWS Earle 2, ,,NATIONAL SECURITY,NJ,20170626-DOD-NWS Earle 2,Command Duty Officer (732) 558-3362,Surface,400' AGL,MONMOUTH,0.000668651167643475,0.109444856259019
544,DOD,USN,NWS Earle 3, ,,NATIONAL SECURITY,NJ,20170626-DOD-NWS Earle 3,Command Duty Officer (732) 558-3362,Surface,400' AGL,MONMOUTH,0.00212886467943463,0.579644945743158
545,DOD,USN,NWS Earle 4, ,,NATIONAL SECURITY,NJ,20170626-DOD-NWS Earle 4,Command Duty Officer (732) 558-3362,Surface,400' AGL,MONMOUTH,4.22766659085028e-05,0.0437441570401784
546,DOD,USN,NSA Mechanicsburg DET Philadelphia, ,,NATIONAL SECURITY,PA,20170626-DOD-NSA Mechanicsburg DET Philadelphia,Command Duty Officer (215) 439-8575,Surface,400' AGL,PHILADELPHIA,5.76016182094463e-05,0.0352851951772268
547,DOD,USN,SEAFAC Ketchikan, ,,NATIONAL SECURITY,AK,20170626-DOD-SEAFAC Ketchikan,Base Opeartor (907) 247-6289,Surface,400' AGL,KETCHIKAN,3.93769278161926e-06,0.0238406270633417
548,DOD,USN,NB Kitsap-Bangor, ,,NATIONAL SECURITY,WA,20170626-DOD-NB Kitsap-Bangor,"PRI: Aaron Rossiter, Command ATO, (360)340-4023 or (360)476-6864, aaron.m.rossiter1@navy.mil; SEC: CDO: (360)340-5335",Surface,400' AGL,BANGOR,0.00346513934027826,0.284468497656474
549,DOD,USN,NAVMAG Indian Island, ,,NATIONAL SECURITY,WA,20170626-DOD-NAVMAG Indian Island,"PRI: Security Director, (360) 396-5293; secondary POC:  Command Duty Officer, (360) 340-1984",Surface,400' AGL,JEFFERSON,0.0012881658049082,0.245413809774254
550,DOD,USN,NB Kitsap-Bremerton/Puget Sound Naval Shipyard 1, ,,NATIONAL SECURITY,WA,20170626-DOD-NB Kitsap-Bremerton/Puget Sound Naval Shipyard 1,"Primary:  Mark Durban, Command ATO, (360) 340-4023 Secondary:  CDO, (360) 240-5335",Surface,400' AGL,BREMERTON,1.05753497336991e-06,0.0041833961130087
551,DOD,USN,NB Kitsap-Bremerton/Puget Sound Naval Shipyard 2, ,,NATIONAL SECURITY,WA,20170626-DOD-NB Kitsap-Bremerton/Puget Sound Naval Shipyard 2,"Primary:  Mark Durban, Command ATO, (360) 340-4023 Secondary:  CDO, (360) 240-5335",Surface,400' AGL,BREMERTON,0.000353028467543481,0.116738770296335
552,DOD,USN,NB Kitsap-Bremerton/Puget Sound Naval Shipyard 3, ,,NATIONAL SECURITY,WA,20170626-DOD-NB Kitsap-Bremerton/Puget Sound Naval Shipyard 3,"Primary:  Mark Durban, Command ATO, (360) 340-4023 Secondary:  CDO, (360) 240-5335",Surface,400' AGL,BREMERTON,2.05878677661531e-07,0.00202294155264344
553,DOD,USN,NS Everett, ,,NATIONAL SECURITY,WA,20170626-DOD-NS Everett,"Primary:  Post One, (425) 304-3212 or NAVSTAEVERETTDRONEOPERATIONS@US.NAVY.MIL Secondary:  CDO, (425) 754-2147",Surface,400' AGL,SNOHOMISH,0.000102738066289021,0.0645603340608538
554,DOD,USN,NAVSUPPU Saratoga Springs, ,,NATIONAL SECURITY,NY,20170626-DOD-NAVSUPPU Saratoga Springs,Command Duty Oficer (518) 429-6437,Surface,400' AGL,SARATOGA,1.71174758634152e-05,0.0186076945283035
555,DOD,USN,NAS Whidbey Island 1, ,CLASS D,NATIONAL SECURITY,WA,20170626-DOD-NAS Whidbey Island 1,"PRI: Air Traffic Control Facility Officer, Mon-Fri 0730-1600; (360)-257-1310/2132. SEC: ATC Facility Watch Supervisor 24 hours a day: (360)-257-2887",Surface,400' AGL,ISLAND,0.00134702341938464,0.310653689456237
556,DOD,USN,NAS Whidbey Island 2, ,CLASS D,NATIONAL SECURITY,WA,20170626-DOD-NAS Whidbey Island 2,"PRI: Air Traffic Control Facility Officer, Mon-Fri 0730-1600; (360)-257-1310/2132. SEC: ATC Facility Watch Supervisor 24 hours a day: (360)-257-2887",Surface,400' AGL,ISLAND,0.00204598427990277,0.313901754501374
557,DOD,AFGSC,Minot,Minot C-7,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-1," Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.42900738259777e-07,0.00344800000004852
558,DOD,AFGSC,Minot,Minot C-5,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-2," Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.42899828765076e-07,0.00344799999993484
559,DOD,AFGSC,Minot,Minot C-6,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-3,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43751115805935e-07,0.00345000000004347
560,DOD,AFGSC,Minot,Minot E-4,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-4,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43749296816532e-07,0.00344999999992979
561,DOD,AFGSC,Minot,Minot E-7,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-5,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43751115805935e-07,0.0034499999998161
562,DOD,AFGSC,Minot,Minot E-5,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-6,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,SHERIDAN,7.43750206311233e-07,0.00345000000004347
563,DOD,AFGSC,Minot,Minot C-8,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-7,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43749296816532e-07,0.00344999999992979
564,DOD,AFGSC,Minot,Minot D-7,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-8,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43751115805935e-07,0.00345000000004347
565,DOD,AFGSC,Minot,Minot D-5,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-9,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43750206311233e-07,0.00345000000004347
566,DOD,AFGSC,Minot,Minot C-4,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-10,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43750206311233e-07,0.00345000000004347
567,DOD,AFGSC,Minot,Minot E-6,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot A-11,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.43750206311233e-07,0.00345000000004347
568,DOD,AFGSC,Minot,Minot E-8,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-1,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.44600583857391e-07,0.00345199999992474
569,DOD,AFGSC,Minot,Minot E-9,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-2,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.44600583857391e-07,0.00345200000003842
570,DOD,AFGSC,Minot,Minot C-9,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-3,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.44599674362689e-07,0.00345199999992474
571,DOD,AFGSC,Minot,Minot C-1,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-4,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,5.51152061234461e-06,0.00954399999989164
572,DOD,AFGSC,Minot,Minot E-3,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-5,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.44600583857391e-07,0.00345200000003842
573,DOD,AFGSC,Minot,Minot D-6,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-6,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.44599674362689e-07,0.00345199999992474
574,DOD,AFGSC,Minot,Minot D-8,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-7,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.44600583857391e-07,0.00345199999992474
575,DOD,AFGSC,Minot,Minot E-10,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-8,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,WARD,7.45450051908847e-07,0.00345400000003337
576,DOD,AFGSC,Minot,Minot E-1,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-9,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,WARD,5.51543962501455e-06,0.00954799999999523
577,DOD,AFGSC,Minot,Minot C-2,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-10,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,WARD,7.45449142414145e-07,0.00345400000003337
578,DOD,AFGSC,Minot,Minot C-10,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot B-11,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCHENRY,7.45450051908847e-07,0.00345400000003337
579,DOD,AFGSC,Minot,Minot D-4,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-1,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.45449142414145e-07,0.00345400000003337
580,DOD,AFGSC,Minot,Minot C-3,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-2,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.45450051908847e-07,0.00345400000003337
581,DOD,AFGSC,Minot,Minot E-11,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-3,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.45450051908847e-07,0.00345399999991969
582,DOD,AFGSC,Minot,Minot D-9,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-4,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.45449142414145e-07,0.00345400000003337
583,DOD,AFGSC,Minot,Minot D-1,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-5,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,5.51936045667389e-06,0.00955199999998513
584,DOD,AFGSC,Minot,Minot E-2,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-6,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.45450051908847e-07,0.00345399999991969
585,DOD,AFGSC,Minot,Minot C-11,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-7,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.45450051908847e-07,0.00345399999991969
586,DOD,AFGSC,Minot,Minot B-7,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-8,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.46300429455005e-07,0.00345600000002833
587,DOD,AFGSC,Minot,Minot A-6,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-9,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.46300429455005e-07,0.00345600000002833
588,DOD,AFGSC,Minot,Minot F-7,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-10," Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.46299519960303e-07,0.00345600000002833
589,DOD,AFGSC,Minot,Minot A-8,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot C-11,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.47150807001162e-07,0.00345800000002328
590,DOD,AFGSC,Minot,Minot H-7,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot D-1,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.47149897506461e-07,0.00345800000002328
591,DOD,AFGSC,Minot,Minot F-5,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot D-2,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,WARD,7.47149897506461e-07,0.00345800000002328
592,DOD,AFGSC,Minot,Minot F-6,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot D-3,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,WARD,7.47149897506461e-07,0.00345800000002328
593,DOD,AFGSC,Minot,Minot D-10,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot D-4,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.47149897506461e-07,0.00345800000002328
594,DOD,AFGSC,Minot,Minot B-6,CLASS G,NATIONAL SECURITY,ND,20170810-DOD-Minot-Minot D-5,"Primary and Emergency:Command Post, Minot: 701-723-3101",Surface,400' AGL,MCLEAN,7.47149897506461e-07,0.00345800000002328
